time_start;time_end;model;launch_place;target;launched;destroyed;not_reach_goal
2024-06-17;2024-06-17;Lancet;;Kherson oblast;2.0;2;
2024-06-14;2024-06-14;Supercam;;Kherson oblast;1.0;1;
2024-06-14;2024-06-14;Orlan-10;;Kherson oblast;1.0;1;
2024-06-14;2024-06-14;Lancet;;Kherson oblast;1.0;1;
2024-06-13;2024-06-13;ZALA;;Kherson oblast;2.0;2;
2024-06-13;2024-06-13;Supercam;;Kherson oblast;2.0;2;
2024-06-09;2024-06-09;Supercam;;Kherson oblast;1.0;1;
2024-06-08;2024-06-08;Lancet;;Kherson oblast;4.0;4;
2024-06-07;2024-06-07;Unknown UAV;;Kherson oblast;1.0;1;
2024-06-07;2024-06-07;Supercam;;Kherson oblast;1.0;1;
2024-06-05;2024-06-05;ZALA;;Kherson oblast;2.0;2;
2024-06-04;2024-06-04;Orlan-10;;Kherson oblast;1.0;1;
2024-06-04;2024-06-04;ZALA;;Kherson oblast;1.0;1;
2024-06-04;2024-06-04;Unknown UAV;;Kherson oblast;1.0;1;
2024-06-03;2024-06-03;ZALA;;Kherson oblast;1.0;1;
2024-06-02;2024-06-02;ZALA;;Kherson oblast;1.0;1;
2024-06-01;2024-06-01;Unknown UAV;;Kherson oblast;1.0;1;
2024-06-01;2024-06-01;Supercam;;Kherson oblast;1.0;1;
2024-06-01;2024-06-01;Iskander-M;;Kherson oblast;1.0;0;
2024-05-30;2024-05-30;Supercam;;Kherson oblast;1.0;1;
2024-05-28;2024-05-28;ZALA;;Kherson oblast;2.0;2;
2024-05-28;2024-05-28;Supercam;;Kherson oblast;1.0;1;
2024-05-23;2024-05-23;Orlan-10;;Kherson oblast;1.0;1;
2024-05-20;2024-05-20;Supercam;;Kherson oblast;1.0;1;
2024-05-20;2024-05-20;Lancet;;Kherson oblast;1.0;1;
2024-05-18;2024-05-18;Supercam;;Kherson oblast;2.0;2;
2024-05-17;2024-05-17;ZALA;;Kherson oblast;2.0;2;
2024-05-17;2024-05-17;Unknown UAV;;Kherson oblast;1.0;1;
